LTE_LL_7,LTE_EE_7,LTE_SS_7,LTE_LE_7,LTE_ES_7,LTE_LS_7,label
255609.02003422333,2912.9765485136436,472.6710071507046,17444.06142086377,1138.1983543242216,5166.792003772791,flavigenum
329705.31965196895,2395.1377305578008,373.18031099916,15026.675391061981,926.9239270730063,4345.292617254099,neoechinulatum
254557.16291365528,4104.210403706939,561.4046677962268,23817.761563169734,1478.4550768012723,7435.045055919225,venetum
317912.7000687105,1481.3494903476176,193.96736595472402,10762.499585219475,505.7548435535606,2471.417461650769,hirsutum
311090.80622669106,1641.0217224029782,233.7051603884422,11780.888009438691,591.850943333211,2800.943159910428,echinulatum
304634.0584908757,2296.2654558285026,325.4067723898955,14550.634055864084,833.8687598022825,4011.935448447155,freii
356467.00680706167,1466.622052321271,176.77133856610698,11471.154876952827,479.070093371947,2505.0784664638586,entromorphobium
252879.95414673336,4162.39993165738,565.993135656522,24628.986338466213,1494.6414537144951,7608.778046842473,venetum
258744.2531663484,3506.5654896214082,530.3906512983557,20388.9621882927,1310.5810175030147,6025.805166970219,flavigenum
298828.897742272,981.2032455379132,134.34730901960427,9167.200516572775,338.292888545503,1858.8169269255175,harmonense
292717.14784870966,1452.2400502897863,158.42508129299736,13051.145507375648,440.73738314407086,2386.6523087943506,freii
308803.043888087,1196.813984681601,171.56466144549594,11122.186087236645,426.0982923118663,2453.148034386033,mononematosum
362262.866369993,599.4859234276049,73.37643517780917,6730.230080315019,192.67888405490226,1035.88547353023,Eupenicillium egyptiacum
341744.8350362072,1126.1303828188352,143.80393402966075,9320.788541022457,371.86567360972515,1766.0359033660948,nalgiovense
256407.09454190198,929.822546985787,141.20793563846937,6532.2304039110795,349.4704059511473,1699.573241978117,roqueforti
316554.9530503995,2205.8154724568317,344.50484650568035,14475.523695460324,843.2551672837493,3867.9733718698426,radicicola
270878.6424233862,1788.6479646782636,270.26605026010566,12785.386413478373,649.6254776689298,2990.987003569783,dipodomyicola
293594.6580593884,1086.5374978550683,135.9638340541571,8119.941301851937,357.4651968740261,1730.4079100123147,Eupenicillium crustaceum
300465.7236042087,3320.172958032927,544.4238314087354,18255.50262867939,1316.8793700981118,5720.240231640362,glandicola
335858.13153024536,2449.518702097263,323.6041420673846,17052.75462968678,843.1311369611976,3999.7329324356247,entromorphobium
338678.4526166133,1626.751932837749,207.3285341158031,12841.510241178192,539.8092119175345,2471.2469435021103,nalgiovense
264641.35106811643,2513.5846917841795,306.997902613849,16830.28038989919,835.8833463627111,4347.06818662859,entromorphobium
284474.2231975477,910.9678187253704,118.29446959230135,8346.380656766232,303.3330700881006,1532.3332804232896,harmonense
327541.44824188866,2007.4362080618826,230.99072703537553,14441.377774255605,655.4882019168792,3350.182233344239,lumpii
234281.57751582417,1431.5719211074904,190.59615469628164,13306.156225343795,459.59303399960254,2170.0666481714447,digitatum
288249.6299587583,2387.945386212485,375.50572599791604,15812.038092389274,900.0784557955446,4060.4737000978203,expansum
335426.5509364977,1876.3699679806573,227.11124811955875,17001.717502704698,589.8370722733569,2941.4576260148892,thymicola
292287.9448532064,1834.7021618156575,291.0413782520646,12095.446361765575,702.7226350307934,3124.8026848759855,polonicum
341175.5026938317,1409.9895715347452,185.64075577329896,13330.08748464004,474.0145153992263,2184.0580525354267,nordicum
282294.9270057617,1462.719556149232,239.63609817968003,10280.798141842006,562.5156674871379,2337.107987970443,olsonii
317116.6025446869,2378.909307338623,401.68982218762596,14558.427202972858,948.7775928880511,4093.6614596488484,griseofulvum
299525.2917739889,2499.834185808823,389.9886865678126,15803.79039385869,950.4734612064647,4326.452633936242,expansum
309313.30238065193,2416.159973096366,340.5065420199887,15178.759494921644,875.0134305162765,4138.987397088035,freii
310231.5478550195,1962.0510761121664,251.27224961903866,14096.995373376325,640.836546258634,2958.2842463573056,percisinum
288861.07820386044,734.2031286452946,90.64288102317079,6397.263396489016,242.61139018887883,1281.1697753955839,Eupenicillium crustaceum
267199.0960169745,2039.8209402739096,296.26056603882665,13707.667148434746,725.5717532279564,3341.9869371339855,dipodomyicola
274793.64325617504,2313.6462819829535,344.7968723004798,15568.09647995725,847.7508650974551,3854.4818817362548,expansum
308267.49142279825,2316.4404343317988,371.25775964710385,14975.155045359557,891.7306013093214,4019.993505272775,hordei
341787.5941554919,2424.4814730612275,351.0932563386877,14265.248835131173,893.1466953948619,4121.798204600097,radicicola
303279.7904127346,2314.9951270794986,382.2396637180337,14702.181314896145,908.6072971831729,4116.845735885785,hordei
308733.2068908087,2340.4557219719477,329.7001317559379,16131.827230419476,826.1356939145112,3827.554940904576,formosanum
335540.98386105505,1849.5123763693198,211.2854411064613,13779.454399757746,593.7795009809327,3102.8446877276656,lumpii
252595.74316222293,1543.5902835661993,215.19709329767102,10147.976016527347,550.1523131121651,2644.3726037065503,mononematosum
287468.7176326788,2352.6650715531327,369.06726903911044,15714.97175494815,885.7019203603093,3977.751985039564,expansum
344030.8128022971,2185.069354835717,280.6296415864893,16236.058781080807,730.1276567052013,3410.3758276149947,spinulosporum
283902.470525011,1676.8482041694735,178.52317222375737,13646.123942158622,503.2084186955907,2760.5465159855785,freii
323056.4928947691,2387.396174424405,320.8753424466182,18194.49787557172,810.7940740785268,3413.1188396484067,Eupenicillium tularense
315617.62361800746,1382.7078704906837,179.82739332247922,10197.522097512287,471.7312357993446,2320.6234383657675,hirsutum
329741.3643666317,3205.158435278485,466.92882421138756,18496.586077703076,1177.9552048560267,5366.124678849581,griseofulvum
318100.2107741367,2116.7428040182863,296.7311382981855,15424.902799688174,739.2927886490548,3430.243588356251,formosanum
336048.476171326,1999.5166402352788,260.80667356833067,15502.108041830488,667.9813374687967,3013.0696983873077,nordicum
